id;start_date;end_date;language
1;2020-11-19T11:17:42;2020-11-19T09:07:57;SPANISH
2;2020-11-18T16:07:53;2020-11-19T11:12:18;SPANISH
3;2020-11-19T07:03:12;2020-11-18T17:37:21;FRENCH
4;2020-11-18T22:20:43;2020-11-19T09:52:09;FRENCH
5;2020-11-19T07:51:01;2020-11-19T12:38:00;FRENCH
6;2020-11-19T01:43:22;2020-11-19T13:51:36;FRENCH
7;2020-11-19T03:28:42;2020-11-18T21:19:33;FRENCH
8;2020-11-19T02:24:55;2020-11-19T12:41:03;SPANISH
9;2020-11-19T01:06:04;2020-11-18T21:47:27;SPANISH
10;2020-11-19T09:18:08;2020-11-18T19:52:38;SPANISH
